Month,Day,Rain,Temp
Apr,8,0.97,63.56
Apr,9,0.7,67.54
Apr,10,0.74,61.65
Apr,11,0.75,65.56
Apr,12,0.88,62.04
Apr,13,0.87,67.33
Apr,14,0.83,65.3
Apr,15,0.85,65.19
Apr,16,0.71,56.56
Apr,17,0.8,61.57
Apr,18,0.81,62.3
Apr,19,1.03,64.83
Apr,20,0.91,59.31
Apr,21,0.86,63.14
Apr,22,0.75,66.53
Apr,23,0.84,64.97
Apr,24,0.76,61.77
Apr,25,0.88,65.05
Apr,26,0.72,60.66
Apr,27,0.96,60.71
Apr,28,0.91,61.71
Apr,29,0.86,57.84
Apr,30,0.99,65.35
May,1,0.18,62.64
May,2,0.15,66.72
May,3,0.39,61.23
May,4,0.03,60.63
May,5,0.42,61.88
May,6,0.47,58.31
May,7,0.31,61.43
May,8,0.21,68.68
May,9,0.21,61.24
May,10,0.22,61.14
May,11,0.2,65.33
May,12,0.43,60.1
May,13,0.13,63.79
May,14,0.33,62.43
May,15,0.21,60.95
May,16,0.41,63.68
May,17,0.42,65.09
May,18,0.42,61.79
May,19,0.3,66.49
May,20,0.43,58.64
May,21,0.01,58.48
May,22,0.12,60.87
May,23,0.36,59.71
May,24,0.06,58.71
May,25,0.25,64.97
May,26,0.36,62.8
May,27,0.17,61.91
May,28,0.4,61.53
May,29,0.06,60.94
May,30,0.22,58.89
May,31,0.22,63.17
Jun,1,0.02,66.41
Jun,2,0.18,71.01
Jun,3,0.02,62.15
Jun,4,0.18,63.83
Jun,5,0.19,64.25
Jun,6,0.03,71.3
Jun,7,0.2,66.24
Jun,8,0.01,65.41
Jun,9,0.15,69.15
Jun,10,0.07,62.36
Jun,11,0.05,61.26
Jun,12,0.04,65.6
Jun,13,0.18,64.88
Jun,14,0.2,65.22
Jun,15,0.02,63.32
Jun,16,0.13,68.62
Jun,17,0.1,63.54
Jun,18,0.04,64.27
Jun,19,0.01,65.02
Jun,20,0.17,61.28
Jun,21,0.18,60.92
Jun,22,0.18,63.45
Jun,23,0.03,68.23
Jun,24,0.16,62.66
Jun,25,0.01,62.65
Jun,26,0.17,61.51
Jun,27,0.19,64.47
Jun,28,0.05,60.95
Jun,29,0.17,67.84
Jun,30,0.2,67.2
Jul,1,0.03,74.27
Jul,2,0,73.99
Jul,3,0,66.49
Jul,4,0.05,67.72
Jul,5,0.05,66.73
Jul,6,0,67.3
Jul,7,0,69.58
Jul,8,0.03,66.32
Jul,9,0,65.18
Jul,10,0,67.16
Jul,11,0.04,73.07
Jul,12,0.02,74.49
Jul,13,0,66.59
Jul,14,0.04,70.89
Jul,15,0.05,67.55
Jul,16,0.04,67.57
Jul,17,0,65.64
Jul,18,0,64.11
Jul,19,0.05,74.31
Jul,20,0,70.8
Jul,21,0,64.84
Jul,22,0,66.78
Jul,23,0,73.44
Jul,24,0.04,68.37
Jul,25,0.04,68.67
Jul,26,0.04,70.97
Jul,27,0,71.47
Jul,28,0,70.2
Jul,29,0,69.45
Jul,30,0,73.16
Jul,31,0.01,73.98
Aug,1,0.09,74.02
Aug,2,0,65.54
Aug,3,0,73.65
Aug,4,0,68.98
Aug,5,0,75.71
Aug,6,0,73.08
Aug,7,0.09,68.09
Aug,8,0,75.51
Aug,9,0,74.6
Aug,10,0,75.35
Aug,11,0,73.89
Aug,12,0,67.58
Aug,13,0.08,75.13
Aug,14,0.07,72.59
Aug,15,0.05,69.15
Aug,16,0,74.07
Aug,17,0.06,72.83
Aug,18,0.1,68.93
Aug,19,0.08,74.16
Aug,20,0,65.35
Aug,21,0,75.12
Aug,22,0.09,72.53
Aug,23,0.08,75.91
Aug,24,0.07,66.8
Aug,25,0.06,74.24
Aug,26,0,74.43
Aug,27,0,73.33
Aug,28,0,75.2
Aug,29,0.07,70.99
Aug,30,0,73
Aug,31,0,72.34
Sep,1,0.19,69.41
Sep,2,0.2,76.07
Sep,3,0.27,71.6
Sep,4,0.07,75.5
Sep,5,0.05,66.64
Sep,6,0.13,74.2
Sep,7,0.38,64.48
Sep,8,0.34,67.55
Sep,9,0.05,72.41
Sep,10,0.21,71.31
Sep,11,0.05,70.63
Sep,12,0.01,72.53
Sep,13,0.05,72.41
Sep,14,0.04,74.47
Sep,15,0.05,70.31
Sep,16,0.39,74.67
Sep,17,0.3,74.4
Sep,18,0.02,68.71
Sep,19,0.32,75.98
Sep,20,0.36,75.23
Sep,21,0.07,66.22
Sep,22,0.39,68.65
Sep,23,0.36,66.61
Sep,24,0.24,74.92
Sep,25,0.07,76.01
Sep,26,0.03,71.74
Sep,27,0.02,74.51
Sep,28,0.04,76.07
Sep,29,0.07,73.17
Sep,30,0.04,75.48
Oct,1,0.42,74.07
Oct,2,0.46,74
Oct,3,0.68,69.4
Oct,4,0.54,71.17
Oct,5,0.49,73.78
Oct,6,0.39,67.6
Oct,7,0.49,74.03
Oct,8,0.54,73.27
Oct,9,0.46,73.46
Oct,10,0.41,69.89
Oct,11,0.41,67.52
Oct,12,0.48,73.59
Oct,13,0.53,73.69
Oct,14,0.6,70.3
Oct,15,0.37,68.49
Oct,16,0.42,73.52
Oct,17,0.3,66.65
Oct,18,0.51,73.58
Oct,19,0.57,69.62
Oct,20,0.53,64.47
Oct,21,0.62,73.35
Oct,22,0.56,73.52
Oct,23,0.44,67.72
Oct,24,0.64,70.5
Oct,25,0.54,68.82
Oct,26,0.56,73.26
Oct,27,0.41,72.54
Oct,28,0.48,67.04
Oct,29,0.38,73.03
Oct,30,0.49,69.3
Oct,31,0.64,73.39
Nov,1,0.91,61.12
Nov,2,1.01,67.07
Nov,3,1.16,70.66
Nov,4,0.68,69.63
Nov,5,0.73,66.46
Nov,6,0.81,65.69
Nov,7,1.06,69.4
Nov,8,1.02,69.97
Nov,9,1.25,64.66
Nov,10,0.75,55.59
Nov,11,0.91,55.94
Nov,12,0.58,67.96
Nov,13,1.32,66.93
Nov,14,1.22,69.56
Nov,15,0.87,68.59
Nov,16,0.95,70.6
Nov,17,0.97,70.44
Nov,18,1.36,68.6
Nov,19,1.01,66.14
Nov,20,1.08,65.71
Nov,21,1.14,69.87
Nov,22,1.14,65.45
Nov,23,0.67,70.08
Nov,24,1.15,70.23
Nov,25,0.82,69.39
Nov,26,0.99,70.39
Nov,27,0.61,69.22
Nov,28,1.04,66.92
Nov,29,0.8,66.71
Nov,30,0.56,61.84
Dec,1,1.26,58.35
Dec,2,1.39,61.23
Dec,3,2.38,64.78
Dec,4,2.26,55.56
Dec,5,2.44,62.48
Dec,6,1.83,53.81
Dec,7,2.19,62.07
Dec,8,2.31,65.87
Dec,9,2.06,49.23
Dec,10,1.55,58.08
Dec,11,2.66,64.29
Dec,12,2.93,57.13
Dec,13,3.11,53.88
Dec,14,2.55,63.29
Dec,15,2.01,57.38
Dec,16,2.04,64.26
Dec,17,1.95,64.87
Dec,18,1.97,65
Dec,19,2.07,53.87
Dec,20,1.11,62.8
Dec,21,2.11,62.91
Dec,22,2.22,50.58
Dec,23,1.62,64.14
Dec,24,1.22,62.5
Dec,25,1.92,55.71
Dec,26,0.54,59.96
Dec,27,2.94,65.69
Dec,28,2.45,64.92
Dec,29,1.61,54.61
Dec,30,2.11,61.46
Dec,31,2.02,64.48
